family,seed,C,B,gamma,T_count,T_depth,peak_demand,mean_demand,delta_max,slack_ratio,mean_t_slack,stall,slowdown_ratio,inversion,strong_baseline_inversion,shaping_gain,strong_baseline_shaping_gain,feasible
high_compressibility,3,3,12,11,29,8,6,3.625,11,1.0,3.3448275862068964,1,1.5,1,0,0.16666666666666666,0.09090909090909091,1
high_compressibility,3,3,13,11,29,8,6,3.625,11,1.0,3.3448275862068964,1,1.5,1,0,0.16666666666666666,0.09090909090909091,1
high_compressibility,3,3,14,11,29,8,6,3.625,11,1.0,3.3448275862068964,1,1.5,1,0,0.16666666666666666,0.09090909090909091,1
high_compressibility,3,3,15,11,29,8,6,3.625,11,1.0,3.3448275862068964,1,1.5,1,0,0.16666666666666666,0.09090909090909091,1
high_compressibility,3,4,0,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,inf,0,0,0.0,-0.25,0
high_compressibility,3,4,1,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,inf,0,0,0.0,-0.25,0
high_compressibility,3,4,2,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.375,1,0,0.09090909090909091,-0.25,1
high_compressibility,3,4,3,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,4,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,5,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,6,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,7,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,8,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,9,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,10,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,11,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,12,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,13,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,14,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,4,15,5,29,8,6,3.625,5,1.0,3.3448275862068964,1,1.25,0,0,0.0,-0.25,1
high_compressibility,3,5,0,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,inf,0,0,0.0,-0.25,0
high_compressibility,3,5,1,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,2,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,3,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,4,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,5,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,6,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,7,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,8,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,9,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,10,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,11,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,12,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,13,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,14,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,5,15,1,29,8,6,3.625,1,1.0,3.3448275862068964,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,3,6,0,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,1,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,2,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,3,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
