workload_scope,workload_name,policy,variant_id,trace_length,C_nominal,B,routing_alpha,C_effective,feasible,feasible_reason,delta_max_nominal,delta_max_proxy,T_exe_proxy,slowdown_proxy,stall_cycles_proxy
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,7,8,1.0,7,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,7,8,1.25,5,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,smoothed,low_compressibility_seed7:smoothed,42,7,8,1.5,4,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,3,0,1.0,3,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,3,0,1.25,2,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,3,0,1.5,2,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,3,8,1.0,3,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,3,8,1.25,2,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,3,8,1.5,2,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,5,0,1.0,5,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,5,0,1.25,4,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,5,0,1.5,3,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,5,8,1.0,5,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,5,8,1.25,4,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,5,8,1.5,3,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,7,0,1.0,7,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,7,0,1.25,5,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,7,0,1.5,4,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,7,8,1.0,7,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,7,8,1.25,5,1,feasible,0,0,42.0,1.0,0.0
synthetic,low_compressibility_seed7,static_min,low_compressibility_seed7:static_min,42,7,8,1.5,4,1,feasible,0,0,42.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,3,0,1.0,3,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,3,0,1.25,2,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,3,0,1.5,2,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,3,8,1.0,3,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,3,8,1.25,2,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,3,8,1.5,2,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,5,0,1.0,5,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,5,0,1.25,4,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,5,0,1.5,3,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,5,8,1.0,5,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,5,8,1.25,4,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,5,8,1.5,3,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,7,0,1.0,7,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,7,0,1.25,5,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,7,0,1.5,4,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,7,8,1.0,7,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,7,8,1.25,5,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,smoothed,medium_compressibility_seed7:smoothed,17,7,8,1.5,4,1,feasible,0,0,17.0,1.0,0.0
synthetic,medium_compressibility_seed7,static_min,medium_compressibility_seed7:static_min,16,3,0,1.0,3,0,peak_demand_exceeds_reachable_stock,1,1,inf,inf,inf
synthetic,medium_compressibility_seed7,static_min,medium_compressibility_seed7:static_min,16,3,0,1.25,2,0,peak_demand_exceeds_reachable_stock,1,3,inf,inf,inf
synthetic,medium_compressibility_seed7,static_min,medium_compressibility_seed7:static_min,16,3,0,1.5,2,0,peak_demand_exceeds_reachable_stock,1,3,inf,inf,inf
synthetic,medium_compressibility_seed7,static_min,medium_compressibility_seed7:static_min,16,3,8,1.0,3,1,feasible,1,1,17.0,1.0625,1.0
synthetic,medium_compressibility_seed7,static_min,medium_compressibility_seed7:static_min,16,3,8,1.25,2,1,feasible,1,3,18.0,1.125,2.0
