family,seed,C,B,static_min_vs_smoothed_inversion,capacity_aware_vs_smoothed_inversion
high_compressibility,5,6,2,0,0
high_compressibility,5,6,3,0,0
high_compressibility,5,6,4,0,0
high_compressibility,5,6,5,0,0
high_compressibility,5,6,6,0,0
high_compressibility,5,6,7,0,0
high_compressibility,5,6,8,0,0
high_compressibility,5,6,9,0,0
high_compressibility,5,6,10,0,0
high_compressibility,5,6,11,0,0
high_compressibility,5,6,12,0,0
high_compressibility,5,6,13,0,0
high_compressibility,5,6,14,0,0
high_compressibility,5,6,15,0,0
high_compressibility,5,7,0,0,0
high_compressibility,5,7,1,0,0
high_compressibility,5,7,2,0,0
high_compressibility,5,7,3,0,0
high_compressibility,5,7,4,0,0
high_compressibility,5,7,5,0,0
high_compressibility,5,7,6,0,0
high_compressibility,5,7,7,0,0
high_compressibility,5,7,8,0,0
high_compressibility,5,7,9,0,0
high_compressibility,5,7,10,0,0
high_compressibility,5,7,11,0,0
high_compressibility,5,7,12,0,0
high_compressibility,5,7,13,0,0
high_compressibility,5,7,14,0,0
high_compressibility,5,7,15,0,0
high_compressibility,7,1,0,0,0
high_compressibility,7,1,1,0,0
high_compressibility,7,1,2,0,0
high_compressibility,7,1,3,0,0
high_compressibility,7,1,4,0,0
high_compressibility,7,1,5,1,0
high_compressibility,7,1,6,1,0
high_compressibility,7,1,7,1,0
high_compressibility,7,1,8,1,0
high_compressibility,7,1,9,1,0
high_compressibility,7,1,10,1,0
high_compressibility,7,1,11,1,0
high_compressibility,7,1,12,1,0
high_compressibility,7,1,13,1,0
high_compressibility,7,1,14,1,0
high_compressibility,7,1,15,1,0
high_compressibility,7,2,0,0,0
high_compressibility,7,2,1,0,0
high_compressibility,7,2,2,0,0
high_compressibility,7,2,3,0,0
high_compressibility,7,2,4,1,0
high_compressibility,7,2,5,1,0
high_compressibility,7,2,6,1,0
high_compressibility,7,2,7,1,0
high_compressibility,7,2,8,1,0
high_compressibility,7,2,9,1,0
high_compressibility,7,2,10,1,0
high_compressibility,7,2,11,1,0
high_compressibility,7,2,12,1,0
high_compressibility,7,2,13,1,0
high_compressibility,7,2,14,1,0
high_compressibility,7,2,15,1,0
high_compressibility,7,3,0,0,0
high_compressibility,7,3,1,0,0
high_compressibility,7,3,2,0,0
high_compressibility,7,3,3,1,0
high_compressibility,7,3,4,1,0
high_compressibility,7,3,5,1,0
high_compressibility,7,3,6,1,0
high_compressibility,7,3,7,1,0
high_compressibility,7,3,8,1,0
high_compressibility,7,3,9,1,0
high_compressibility,7,3,10,1,0
high_compressibility,7,3,11,1,0
high_compressibility,7,3,12,1,0
high_compressibility,7,3,13,1,0
high_compressibility,7,3,14,1,0
high_compressibility,7,3,15,1,0
high_compressibility,7,4,0,0,0
high_compressibility,7,4,1,0,0
high_compressibility,7,4,2,1,0
high_compressibility,7,4,3,1,0
high_compressibility,7,4,4,0,0
high_compressibility,7,4,5,0,0
high_compressibility,7,4,6,0,0
high_compressibility,7,4,7,0,0
high_compressibility,7,4,8,0,0
high_compressibility,7,4,9,0,0
high_compressibility,7,4,10,0,0
high_compressibility,7,4,11,0,0
high_compressibility,7,4,12,0,0
high_compressibility,7,4,13,0,0
high_compressibility,7,4,14,0,0
high_compressibility,7,4,15,0,0
high_compressibility,7,5,0,0,0
high_compressibility,7,5,1,1,0
high_compressibility,7,5,2,0,0
high_compressibility,7,5,3,0,0
high_compressibility,7,5,4,0,0
high_compressibility,7,5,5,0,0
high_compressibility,7,5,6,0,0
high_compressibility,7,5,7,0,0
high_compressibility,7,5,8,0,0
high_compressibility,7,5,9,0,0
high_compressibility,7,5,10,0,0
high_compressibility,7,5,11,0,0
high_compressibility,7,5,12,0,0
high_compressibility,7,5,13,0,0
high_compressibility,7,5,14,0,0
high_compressibility,7,5,15,0,0
high_compressibility,7,6,0,0,0
high_compressibility,7,6,1,0,0
high_compressibility,7,6,2,0,0
high_compressibility,7,6,3,0,0
high_compressibility,7,6,4,0,0
high_compressibility,7,6,5,0,0
high_compressibility,7,6,6,0,0
high_compressibility,7,6,7,0,0
high_compressibility,7,6,8,0,0
high_compressibility,7,6,9,0,0
high_compressibility,7,6,10,0,0
high_compressibility,7,6,11,0,0
high_compressibility,7,6,12,0,0
high_compressibility,7,6,13,0,0
high_compressibility,7,6,14,0,0
high_compressibility,7,6,15,0,0
high_compressibility,7,7,0,0,0
high_compressibility,7,7,1,0,0
high_compressibility,7,7,2,0,0
high_compressibility,7,7,3,0,0
high_compressibility,7,7,4,0,0
high_compressibility,7,7,5,0,0
high_compressibility,7,7,6,0,0
high_compressibility,7,7,7,0,0
high_compressibility,7,7,8,0,0
high_compressibility,7,7,9,0,0
high_compressibility,7,7,10,0,0
high_compressibility,7,7,11,0,0
high_compressibility,7,7,12,0,0
high_compressibility,7,7,13,0,0
high_compressibility,7,7,14,0,0
high_compressibility,7,7,15,0,0
high_compressibility,9,1,0,0,0
high_compressibility,9,1,1,0,0
high_compressibility,9,1,2,0,0
high_compressibility,9,1,3,0,0
high_compressibility,9,1,4,0,0
high_compressibility,9,1,5,1,0
high_compressibility,9,1,6,1,0
high_compressibility,9,1,7,1,0
high_compressibility,9,1,8,1,0
high_compressibility,9,1,9,1,0
high_compressibility,9,1,10,1,0
high_compressibility,9,1,11,1,0
high_compressibility,9,1,12,1,0
high_compressibility,9,1,13,1,0
high_compressibility,9,1,14,1,0
high_compressibility,9,1,15,1,0
high_compressibility,9,2,0,0,0
high_compressibility,9,2,1,0,0
high_compressibility,9,2,2,0,0
high_compressibility,9,2,3,0,0
high_compressibility,9,2,4,1,0
high_compressibility,9,2,5,1,0
