workload_scope,workload_name,policy,variant_id,trace_length,total_t,peak_demand,mean_demand,delta_max_det,delta_max_expected_service,C,B,p_acc,trials,feasible,feasible_reason,mean_T_exe_stochastic,std_T_exe_stochastic,mean_slowdown_stochastic,mean_stall_cycles_stochastic,frac_runs_with_stall,frac_runs_hitting_cycle_cap,mean_service
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,0,0.999,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.9941660649819495
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,0,1.0,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,6.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,8,0.95,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.700138989169675
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,8,0.99,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.939687725631769
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,8,0.995,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.970153429602887
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,8,0.999,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.994001805054151
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,6,8,1.0,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,6.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.15,1,0,0.95,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.030000000000001,1,0,0.99,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.015,1,0,0.995,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.003,1,0,0.999,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.0,1,0,1.0,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.15,1,8,0.95,100,1,feasible,5554.02,1.0581115253129034,1.0025306859205776,14.02,1.0,0.0,0.9501730352532557
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.030000000000001,1,8,0.99,100,1,feasible,5553.13,0.33630343441600447,1.002370036101083,13.13,1.0,0.0,0.990066851781708
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.015,1,8,0.995,100,1,feasible,5553.14,0.4004996878900155,1.0023718411552347,13.14,1.0,0.0,0.9948461695627573
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.003,1,8,0.999,100,1,feasible,5553.0,0.0,1.0023465703971117,13.0,1.0,0.0,0.9990455609580409
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,13,13.0,1,8,1.0,100,1,feasible,5553.0,0.0,1.0023465703971117,13.0,1.0,0.0,1.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.450000000000001,3,0,0.95,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.09,3,0,0.99,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.045,3,0,0.995,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.009,3,0,0.999,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.0,3,0,1.0,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.450000000000001,3,8,0.95,100,1,feasible,5543.09,0.28618176042508375,1.000557761732852,3.09,1.0,0.0,2.850321758668096
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.09,3,8,0.99,100,1,feasible,5543.0,0.0,1.0005415162454876,3.0,1.0,0.0,2.9696373804798846
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.045,3,8,0.995,100,1,feasible,5543.0,0.0,1.0005415162454876,3.0,1.0,0.0,2.9847302904564317
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.009,3,8,0.999,100,1,feasible,5543.0,0.0,1.0005415162454876,3.0,1.0,0.0,2.99688796680498
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,7,7.0,3,8,1.0,100,1,feasible,5543.0,0.0,1.0005415162454876,3.0,1.0,0.0,3.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,0,0.95,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,0,0.99,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,0,0.995,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,0,0.999,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,0,1.0,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,8,0.95,100,1,feasible,5540.05,0.2179449471770336,1.0000090252707583,0.05,0.05,0.0,5.701009959233987
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,8,0.99,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.940079422382671
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,8,0.995,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.970027075812274
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,8,0.999,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,5.993981949458484
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3910,8,0.7057761732851986,0,0.0,6,8,1.0,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,6.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,327658.65,1,0,0.95,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,308548.53,1,0,0.99,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,306159.765,1,0,0.995,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,304248.753,1,0,0.999,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,303771.0,1,0,1.0,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,327658.65,1,8,0.95,20,1,feasible,914566.45,222.70798705928806,1.6636466412969135,364830.45,1.0,0.0,0.9499771191291192
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,308548.53,1,8,0.99,20,1,feasible,882398.3,80.66356054625905,1.6051310083385477,332662.3,1.0,0.0,0.9900039552390663
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,306159.765,1,8,0.995,20,1,feasible,878554.85,66.6687895495336,1.5981395615349914,328818.85,1.0,0.0,0.9949984399539314
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,304248.753,1,8,0.999,20,1,feasible,875519.0,20.954713073673904,1.5926171835208174,325783.0,1.0,0.0,0.9989995082090818
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,303771,303771.0,1,8,1.0,20,1,feasible,874762.0,0.0,1.5912401589126415,325026.0,1.0,0.0,1.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,0,0.0,3,0,0.95,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,0,0.0,3,0,0.99,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,0,0.0,3,0,0.995,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,0,0.0,3,0,0.999,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,qft_n8,static_min,qft_n8:static_min,549736,821077,6,1.4935841931399798,0,0.0,3,0,1.0,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
