workload_family,workload_name,instance_id,size_n,T_count,T_depth,trace_length,peak_T_demand,slack_ratio,mean_t_slack,mean_delta_max,max_delta_max,mean_peak_demand,frac_CB_with_slowdown,frac_CB_with_stall,grid_type,synthesis_precision,variant,evaluated,skip_reason,modulus,multiplier_constant,qaoa_p,graph_type,graph_seed,graph_edges
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s0,8,522484,325404,325404,5,0.5874763629125486,13107.313339738634,39416.2,197081.0,5.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,0.0,12.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s1,8,522484,363478,363478,5,0.5923071328500011,23745.78534079513,32803.4,164017.0,5.0,0.16,0.48,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,1.0,12.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,522484,353893,353893,4,0.6032912012616655,23947.814574226195,33718.4,168592.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,2.0,12.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_erdos_renyi_dense_s0,8,496393,281206,281206,6,0.6632083852914928,21392.37944128946,43037.6,215188.0,6.0,0.28,0.64,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,0.0,11.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_erdos_renyi_dense_s1,8,652939,502462,502462,4,0.5168553264546918,31378.825512030988,30095.6,150478.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,1.0,17.0
qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_erdos_renyi_dense_s2,8,548575,357088,357088,4,0.4725005696577496,30106.249969466346,38297.6,191488.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,2.0,13.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_ring_s0,10,277110,252458,252458,3,0.4462993035256757,51464.90613113926,4930.4,24652.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,ring,0.0,10.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s0,10,347120,176576,176576,5,0.5983118230006914,23125.297453330262,37482.8,170544.0,5.0,0.32,0.48,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,0.0,15.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s1,10,347120,201870,201870,4,0.2369612814012445,12986.347078820005,29050.0,145250.0,4.0,0.32,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,1.0,15.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,347120,303046,303046,3,0.4772989168011062,42126.6935584236,8814.8,44074.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,2.0,15.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_erdos_renyi_dense_s0,10,403128,303046,303046,5,0.4457194737155444,40611.46182353992,20829.6,104148.0,5.0,0.32,0.48,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,0.0,19.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_erdos_renyi_dense_s1,10,529146,328340,328340,4,0.4718773268625294,23745.27751887003,40161.2,200806.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,1.0,28.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_erdos_renyi_dense_s2,10,403128,277752,277752,4,0.377706336448969,27745.797801194654,25075.2,125376.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,2.0,19.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_ring_s0,10,522650,319280,319280,4,0.5893370324308811,22486.25616569406,40674.2,203371.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,ring,0.0,10.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_random_3_regular_s0,10,653105,309695,309695,5,0.676774791189778,31151.416017332587,83845.8,343411.0,5.0,0.32,0.48,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,0.0,15.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_random_3_regular_s1,10,653105,379187,379187,6,0.6397547101920824,28062.422337908913,54783.8,273919.0,6.0,0.28,0.64,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,1.0,15.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_random_3_regular_s2,10,653105,524561,524561,4,0.538417252968512,53920.23149723245,25709.0,128545.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,2.0,15.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,757469,480363,480363,5,0.5784777990914479,38998.654795113725,55932.4,279662.0,5.0,0.32,0.48,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,0.0,19.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s1,10,992288,568759,568759,5,0.5563989486923151,32039.89595661743,84706.0,423530.0,5.0,0.32,0.48,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,1.0,28.0
qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s2,10,757469,521366,521366,5,0.4523327027244679,45366.87264165266,47220.8,236104.0,5.0,0.16,0.48,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,erdos_renyi_dense,2.0,19.0
