family,seed,policy,capacity_limit_mode,C,B,compressibility,compressibility_slack_ratio,compressibility_mean_t_slack,T_static,T_exe,normalized_makespan,QTV_proxy,Delta_max,Gamma
high_compressibility,1,smoothed,none,2,4,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,5,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,6,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,7,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,8,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,9,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,10,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,11,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,12,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,13,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,14,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,2,15,0.5665024630541872,1.0,3.9655172413793105,10,15.0,1.5,230.0,9,9
high_compressibility,1,smoothed,none,3,0,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,1,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,2,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,3,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,4,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,5,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,6,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,7,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,8,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,9,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,10,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,11,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,12,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,13,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,14,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,3,15,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,0,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,1,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,2,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,3,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,4,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,5,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,6,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,7,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,8,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,9,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,10,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,11,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,12,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,13,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,14,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,4,15,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,0,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,1,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,2,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,3,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,4,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,5,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,6,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,7,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,8,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,9,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,10,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,11,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,12,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,13,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,14,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,5,15,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,0,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,1,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,2,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,3,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,4,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,5,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,6,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,7,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,8,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,9,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,10,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,11,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,12,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,13,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,14,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,6,15,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,0,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,1,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,2,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,3,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,4,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,5,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,6,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,7,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,8,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,9,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,10,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,11,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,12,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
high_compressibility,1,smoothed,none,7,13,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,155.0,0,0
