trace_name,C,B,real_trace_compressibility,Delta_max_capacity_aware_static,Delta_max_smoothed,Delta_max_static_min,Gamma_capacity_aware_static,Gamma_smoothed,Gamma_static_min,QTV_proxy_capacity_aware_static,QTV_proxy_smoothed,QTV_proxy_static_min,T_exe_capacity_aware_static,T_exe_smoothed,T_exe_static_min,T_static_capacity_aware_static,T_static_smoothed,T_static_static_min,feasible_capacity_aware_static,feasible_smoothed,feasible_static_min,stall_cycles_capacity_aware_static,stall_cycles_smoothed,stall_cycles_static_min,both_feasible,inversion,T_exe_improvement,stall_reduction,relative_change_in_QTV
qft_n8,4,4,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,5,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,6,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,7,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,8,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,9,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,10,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,11,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,12,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,13,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,14,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,4,15,0.7440525026712468,0,0,0,0,0,6078,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,0,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,inf,549736.0,549736.0,inf,549736,549736,549736,1,1,0,0.0,0.0,inf,0,0,0.0,0.0,0.0
qft_n8,5,1,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,2,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,3,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,4,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,5,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,6,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,7,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,8,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,9,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,10,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,11,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,12,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,13,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,14,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,5,15,0.7440525026712468,0,0,0,0,0,522,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
qft_n8,6,0,0.7440525026712468,0,0,0,0,0,0,4397888.0,4397888.0,4397888.0,549736.0,549736.0,549736.0,549736,549736,549736,1,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0
